"FirstPersonCameraContinued.ToastTextEnter","Beenden mit ESC-Taste"
"FirstPersonCameraContinued.ToastTextRandomModeEnter","Folge einem anderen [item] mit ENTER-Taste"
"FirstPersonCameraContinued.TooltipMainCameraIcon","Klick hier um einen First Person Modus zu wählen"
"FirstPersonCameraContinued.EnterFreeCamera","Free Camera starten"
"FirstPersonCameraContinued.FollowRandomCim","Zufälligem Cim folgen"
"FirstPersonCameraContinued.FollowRandomVehicle","Zufälligem Fahrzeug folgen"
"FirstPersonCameraContinued.TooltipFollowCamera","Folgen dem ausgewählten Element im First Person Modus."
"Options.OPTION:FOV","FOV"
"Options.OPTION_DESCRIPTION:FOV","Kamera FOV beim Betreten des First Person Modus festlegen"
"Options.OPTION:MovementSpeed","Schritttempo"
"Options.OPTION_DESCRIPTION:MovementSpeed","Schrittgeschwindigkeit im freien Modus festlegen"
"Options.OPTION:RunSpeed","Lauftempo"
"Options.OPTION_DESCRIPTION:RunSpeed","Laufgeschwindigkeit im freien Modus festlegen, zum Aktivieren Umschalttaste gedrückt halten"
"Options.OPTION:CimHeight","Cim Höhe"
"Options.OPTION_DESCRIPTION:CimHeight","Standardhöhe des Sims im freien Modus festlegen"
"Options.OPTION:TransitionSpeedFactor","Übergangstempofaktor"
"Options.OPTION_DESCRIPTION:TransitionSpeedFactor","Übergangsgeschwindigkeit anpassen"
"Options.OPTION:ResetModSettings","Einstellungen zurücksetzen"
"Options.OPTION_DESCRIPTION:ResetModSettings","Mod Einstellungen auf Standardwerte zurücksetzen"
"Options.WARNING:ResetModSettings","Bist du sicher, dass du alle Mod-Einstellungen zurücksetzen möchtest?"
"Options.OPTION:MultilineText","Tastaturkürzel im First Person-Modus:\nWASD - bewegen\nSHIFT - schneller laufen\nR/F - Kamerahöhe erhöhen/verringern\nOben/Unten Pfeil - Bewege Kamera vorwärts/rückwärts im Follow Modus"
"Options.SECTION:[cgameworld.FirstPersonCameraContinued","First Person Camera Continued"
"Options.OPTION:FreeModeKeybind","Free Camera Modus starten"
"Options.BINDING:EnterFreeModeBinding","Free Camera Modus starten"
"Options.OPTION_DESCRIPTION:FreeModeKeybind","Tastaturkürzel um Free Camera First Person-Modus zu aktiveren"
